     time     force
  2.04409E-01  1.84801E+00
  2.06413E-01  1.86002E+00
  2.08417E-01  1.87198E+00
  2.10421E-01  1.88387E+00
  2.12425E-01  1.89569E+00
  2.14429E-01  1.90746E+00
  2.16433E-01  1.91916E+00
  2.18437E-01  1.93080E+00
  2.20441E-01  1.94237E+00
  2.22445E-01  1.95389E+00
  2.24449E-01  1.96534E+00
  2.26453E-01  1.97673E+00
  2.28457E-01  1.98806E+00
  2.30461E-01  1.99933E+00
  2.32465E-01  2.01054E+00
  2.34469E-01  2.02169E+00
  2.36473E-01  2.03278E+00
  2.38477E-01  2.04381E+00
  2.40481E-01  2.05479E+00
  2.42485E-01  2.06570E+00
  2.44489E-01  2.07656E+00
  2.46493E-01  2.08735E+00
  2.48497E-01  2.09809E+00
  2.50501E-01  2.10878E+00
  2.52505E-01  2.11940E+00
  2.54509E-01  2.12997E+00
  2.56513E-01  2.14048E+00
  2.58517E-01  2.15094E+00
  2.60521E-01  2.16134E+00
  2.62525E-01  2.17169E+00
  2.64529E-01  2.18198E+00
  2.66533E-01  2.19221E+00
  2.68537E-01  2.20239E+00
  2.70541E-01  2.21252E+00
  2.72545E-01  2.22259E+00
  2.74549E-01  2.23261E+00
  2.76553E-01  2.24258E+00
  2.78557E-01  2.25249E+00
  2.80561E-01  2.26235E+00
  2.82565E-01  2.27215E+00
  2.84569E-01  2.28191E+00
  2.86573E-01  2.29161E+00
  2.88577E-01  2.30126E+00
  2.90581E-01  2.31086E+00
  2.92585E-01  2.32041E+00
  2.94589E-01  2.32990E+00
  2.96593E-01  2.33935E+00
  2.98597E-01  2.34875E+00
  3.00601E-01  2.35809E+00
  3.02605E-01  2.36739E+00
  3.04609E-01  2.37663E+00
  3.06613E-01  2.38583E+00
  3.08617E-01  2.39498E+00
  3.10621E-01  2.40408E+00
  3.12625E-01  2.41313E+00
  3.14629E-01  2.42213E+00
  3.16633E-01  2.43108E+00
  3.18637E-01  2.43999E+00
  3.20641E-01  2.44885E+00
  3.22645E-01  2.45766E+00
  3.24649E-01  2.46642E+00
  3.26653E-01  2.47514E+00
  3.28657E-01  2.48381E+00
  3.30661E-01  2.49243E+00
  3.32665E-01  2.50101E+00
  3.34669E-01  2.50955E+00
  3.36673E-01  2.51803E+00
  3.38677E-01  2.52647E+00
  3.40681E-01  2.53487E+00
  3.42685E-01  2.54322E+00
  3.44689E-01  2.55153E+00
  3.46693E-01  2.55979E+00
  3.48697E-01  2.56801E+00
  3.50701E-01  2.57619E+00
  3.52705E-01  2.58432E+00
  3.54709E-01  2.59241E+00
  3.56713E-01  2.60045E+00
  3.58717E-01  2.60846E+00
  3.60721E-01  2.61642E+00
  3.62725E-01  2.62433E+00
  3.64729E-01  2.63221E+00
  3.66733E-01  2.64004E+00
  3.68737E-01  2.64783E+00
  3.70741E-01  2.65558E+00
  3.72745E-01  2.66329E+00
  3.74750E-01  2.67096E+00
  3.76754E-01  2.67858E+00
  3.78758E-01  2.68617E+00
  3.80762E-01  2.69371E+00
  3.82766E-01  2.70122E+00
  3.84770E-01  2.70868E+00
  3.86774E-01  2.71611E+00
  3.88778E-01  2.72349E+00
