	time		Ca
    1.7499999702E-01    1.9716999589E-07    8.5379175842E-02
    1.7599999905E-01    1.9165699428E-07    8.4920145571E-02
    1.7700000107E-01    1.8628000475E-07    8.4438391030E-02
    1.7800000310E-01    1.8103600041E-07    8.3933986723E-02
    1.7900000513E-01    1.7592400070E-07    8.3406753838E-02
    1.8000000715E-01    1.7093900340E-07    8.2857079804E-02
    1.8099999428E-01    1.6608099429E-07    8.2285650074E-02
    1.8199999630E-01    1.6134599434E-07    8.1692449749E-02
    1.8299999833E-01    1.5673100506E-07    8.1078119576E-02
    1.8400000036E-01    1.5223500327E-07    8.0442659557E-02
    1.8500000238E-01    1.4785500468E-07    7.9784594476E-02
    1.8600000441E-01    1.4358799660E-07    7.9103492200E-02
    1.8700000644E-01    1.3943299848E-07    7.8401878476E-02
    1.8799999356E-01    1.3538600285E-07    7.7676743269E-02
    1.8899999559E-01    1.3144500599E-07    7.6929382980E-02
    1.8999999762E-01    1.2760800416E-07    7.6158769429E-02
    1.9099999964E-01    1.2387299364E-07    7.5387179852E-02
    1.9200000167E-01    1.2023799911E-07    7.4576757848E-02
    1.9300000370E-01    1.1669899891E-07    7.3755145073E-02
    1.9400000572E-01    1.1325600013E-07    7.2970137000E-02
    1.9499999285E-01    1.0990500243E-07    7.2190821171E-02
    1.9599999487E-01    1.0664499683E-07    7.1368977427E-02
    1.9699999690E-01    1.0347400092E-07    7.0549875498E-02
    1.9799999893E-01    1.0038900200E-07    6.9741539657E-02
    1.9900000095E-01    9.7389296627E-08    6.8946182728E-02
    2.0000000298E-01    9.4471602097E-08    6.8180263042E-02
    2.0100000501E-01    9.1634497323E-08    6.7370876670E-02
    2.0200000703E-01    8.8875900417E-08    6.6611617804E-02
    2.0299999416E-01    8.6194098969E-08    6.5829873085E-02
    2.0399999619E-01    8.3587103461E-08    6.5084382892E-02
    2.0499999821E-01    8.1053102008E-08    6.4352348447E-02
    2.0600000024E-01    7.8590296937E-08    6.3618570566E-02
    2.0700000226E-01    7.6196997156E-08    6.2879912555E-02
    2.0800000429E-01    7.3871298412E-08    6.2141530216E-02
    2.0900000632E-01    7.1611701458E-08    6.1400230974E-02
    2.0999999344E-01    6.9416500992E-08    6.0660388321E-02
    2.1099999547E-01    6.7283899341E-08    5.9932928532E-02
    2.1199999750E-01    6.5212496736E-08    5.9221781790E-02
    2.1299999952E-01    6.3200701561E-08    5.8505535126E-02
    2.1400000155E-01    6.1246801408E-08    5.7809300721E-02
    2.1500000358E-01    5.9349499537E-08    5.7118508965E-02
    2.1600000560E-01    5.7507200779E-08    5.6414060295E-02
    2.1699999273E-01    5.5718498260E-08    5.5698566139E-02
    2.1799999475E-01    5.3981999315E-08    5.4994143546E-02
    2.1899999678E-01    5.2296300623E-08    5.4305113852E-02
    2.1999999881E-01    5.0660098339E-08    5.3617440164E-02
    2.2100000083E-01    4.9072099273E-08    5.2957270294E-02
    2.2200000286E-01    4.7530900105E-08    5.2292030305E-02
    2.2300000489E-01    4.6035300016E-08    5.1624149084E-02
    2.2400000691E-01    4.4584101744E-08    5.0955537707E-02
    2.2499999404E-01    4.3176001441E-08    5.0291135907E-02
    2.2599999607E-01    4.1809901319E-08    4.9638200551E-02
    2.2699999809E-01    4.0484700037E-08    4.8986636102E-02
    2.2800000012E-01    3.9199200330E-08    4.8340663314E-02
    2.2900000215E-01    3.7952300858E-08    4.7702595592E-02
    2.3000000417E-01    3.6742999754E-08    4.7069836408E-02
    2.3100000620E-01    3.5570199231E-08    4.6430755407E-02
    2.3199999332E-01    3.4432900975E-08    4.5809779316E-02
    2.3299999535E-01    3.3330199045E-08    4.5186560601E-02
    2.3399999738E-01    3.2260899729E-08    4.4568639249E-02
    2.3499999940E-01    3.1224200114E-08    4.3957304209E-02
    2.3600000143E-01    3.0219201363E-08    4.3348450214E-02
    2.3700000346E-01    2.9244999311E-08    4.2742859572E-02
    2.3800000548E-01    2.8300700450E-08    4.2138732970E-02
    2.3899999261E-01    2.7385400614E-08    4.1540615261E-02
    2.3999999464E-01    2.6498300443E-08    4.0948815644E-02
    2.4099999666E-01    2.5638700052E-08    4.0363453329E-02
    2.4199999869E-01    2.4805599352E-08    3.9783969522E-02
    2.4300000072E-01    2.3998399712E-08    3.9214093238E-02
    2.4400000274E-01    2.3216200518E-08    3.8643091917E-02
    2.4500000477E-01    2.2458500837E-08    3.8082502782E-02
    2.4600000679E-01    2.1724300581E-08    3.7517026067E-02
    2.4699999392E-01    2.1013200069E-08    3.6955792457E-02
    2.4799999595E-01    2.0324300465E-08    3.6404818296E-02
    2.4899999797E-01    1.9656999584E-08    3.5864215344E-02
    2.5000000000E-01    1.9010700569E-08    3.5322450101E-02
    2.5099998713E-01    1.8384799461E-08    3.4788183868E-02
    2.5200000405E-01    1.7778599926E-08    3.4259386361E-02
    2.5299999118E-01    1.7191700508E-08    3.3729199320E-02
    2.5400000811E-01    1.6623300070E-08    3.3196564764E-02
    2.5499999523E-01    1.6073000708E-08    3.2680813223E-02
    2.5600001216E-01    1.5540100762E-08    3.2161775976E-02
    2.5699999928E-01    1.5024300026E-08    3.1649474055E-02
    2.5799998641E-01    1.4524900394E-08    3.1138615683E-02
    2.5900000334E-01    1.4041400043E-08    3.0631663278E-02
    2.5999999046E-01    1.3573499658E-08    3.0138270929E-02
    2.6100000739E-01    1.3120599718E-08    2.9652893543E-02
    2.6199999452E-01    1.2682200179E-08    2.9163530096E-02
    2.6300001144E-01    1.2257899584E-08    2.8668697923E-02
    2.6399999857E-01    1.1847300030E-08    2.8196524829E-02
    2.6499998569E-01    1.1450000059E-08    2.7720754966E-02
    2.6600000262E-01    1.1065499628E-08    2.7249312028E-02
    2.6699998975E-01    1.0693500307E-08    2.6778114960E-02
    2.6800000668E-01    1.0333599754E-08    2.6316678151E-02
    2.6899999380E-01    9.9853396662E-09    2.5871923193E-02
    2.7000001073E-01    9.6484296108E-09    2.5427374989E-02
    2.7099999785E-01    9.3225001052E-09    2.4984898046E-02
    2.7200001478E-01    9.0072198589E-09    2.4542482570E-02
    2.7300000191E-01    8.7022398176E-09    2.4106660858E-02
    2.7399998903E-01    8.4072597772E-09    2.3672392592E-02
    2.7500000596E-01    8.1219395653E-09    2.3244548589E-02
    2.7599999309E-01    7.8460002939E-09    2.2815318778E-02
    2.7700001001E-01    7.5791399823E-09    2.2393561900E-02
    2.7799999714E-01    7.3210699725E-09    2.1967658773E-02
    2.7900001407E-01    7.0715100442E-09    2.1555369720E-02
    2.8000000119E-01    6.8301901912E-09    2.1152978763E-02
    2.8099998832E-01    6.5968501772E-09    2.0747931674E-02
    2.8200000525E-01    6.3712501941E-09    2.0344682038E-02
    2.8299999237E-01    6.1531300055E-09    1.9943175837E-02
    2.8400000930E-01    5.9422498033E-09    1.9547492266E-02
    2.8499999642E-01    5.7383902075E-09    1.9155330956E-02
    2.8600001335E-01    5.5413100775E-09    1.8771810457E-02
    2.8700000048E-01    5.3508100173E-09    1.8385872245E-02
    2.8799998760E-01    5.1666702028E-09    1.8004618585E-02
    2.8900000453E-01    4.9886899056E-09    1.7608385533E-02
    2.8999999166E-01    4.8166599598E-09    1.7177190632E-02
    2.9100000858E-01    4.6504000650E-09    1.6748784110E-02
    2.9199999571E-01    4.4897201512E-09    1.6306126490E-02
    2.9300001264E-01    4.3344399181E-09    1.5679808334E-02
    2.9399999976E-01    4.1843799536E-09    1.5086155385E-02
    2.9499998689E-01    4.0393799416E-09    1.4490975998E-02
    2.9600000381E-01    3.8992697959E-09    1.4039139263E-02
    2.9699999094E-01    3.7638900885E-09    1.3636698946E-02
    2.9800000787E-01    3.6330900510E-09    1.3212114573E-02
    2.9899999499E-01    3.5067100335E-09    1.2909891084E-02
    3.0000001192E-01    3.3846099257E-09    1.2578443624E-02
    3.0099999905E-01    3.2666600536E-09    1.2210139073E-02
    3.0199998617E-01    3.1527200850E-09    1.1841823347E-02
    3.0300000310E-01    3.0426499098E-09    1.1322492734E-02
    3.0399999022E-01    2.9363200760E-09    1.0979659855E-02
    3.0500000715E-01    2.8336200053E-09    1.0518615134E-02
    3.0599999428E-01    2.7344200237E-09    1.0219749995E-02
    3.0700001121E-01    2.6386099972E-09    9.7569655627E-03
    3.0799999833E-01    2.5460800135E-09    9.4788772985E-03
    3.0899998546E-01    2.4567199386E-09    9.0780565515E-03
    3.1000000238E-01    2.3704100904E-09    8.6852079257E-03
    3.1099998951E-01    2.2870700889E-09    8.3998916671E-03
    3.1200000644E-01    2.2065900218E-09    8.0737611279E-03
    3.1299999356E-01    2.1288699692E-09    7.9057049006E-03
    3.1400001049E-01    2.0538299950E-09    7.6505122706E-03
    3.1499999762E-01    1.9813799490E-09    7.2764116339E-03
    3.1600001454E-01    1.9114199112E-09    7.0014744997E-03
    3.1700000167E-01    1.8438800486E-09    6.6756652668E-03
    3.1799998879E-01    1.7786699891E-09    6.4372681081E-03
    3.1900000572E-01    1.7157100185E-09    6.1492524110E-03
    3.1999999285E-01    1.6549399628E-09    5.8601610363E-03
    3.2100000978E-01    1.5962700051E-09    5.6166909635E-03
    3.2199999690E-01    1.5396399711E-09    5.4371734150E-03
    3.2300001383E-01    1.4849700358E-09    5.1788459532E-03
    3.2400000095E-01    1.4322000252E-09    4.9794185907E-03
    3.2499998808E-01    1.3812699873E-09    4.8423944972E-03
    3.2600000501E-01    1.3321099779E-09    4.6854214743E-03
    3.2699999213E-01    1.2846700370E-09    4.4376887381E-03
    3.2800000906E-01    1.2388799986E-09    4.2331544682E-03
    3.2899999619E-01    1.1946900136E-09    4.0393085219E-03
    3.3000001311E-01    1.1520400189E-09    3.8468951825E-03
    3.3100000024E-01    1.1108800546E-09    3.6524464376E-03
    3.3199998736E-01    1.0711700416E-09    3.4705051221E-03
    3.3300000429E-01    1.0328500277E-09    3.3021816052E-03
    3.3399999142E-01    9.9999997172E-10    3.2342593186E-03
    3.3500000834E-01    9.9999997172E-10    3.1719543040E-03
    3.3599999547E-01    9.9999997172E-10    3.1108648982E-03
    3.3700001240E-01    9.9999997172E-10    3.0509545468E-03
    3.3799999952E-01    9.9999997172E-10    2.9922202229E-03
    3.3899998665E-01    9.9999997172E-10    2.9040221125E-03
    3.4000000358E-01    9.9999997172E-10    2.8781353030E-03
    3.4099999070E-01    9.9999997172E-10    2.8227609582E-03
    3.4200000763E-01    9.9999997172E-10    2.7435494121E-03
    3.4299999475E-01    9.9999997172E-10    2.7151992545E-03
    3.4400001168E-01    9.9999997172E-10    2.6289729867E-03
    3.4499999881E-01    9.9999997172E-10    2.6117879897E-03
    3.4599998593E-01    9.9999997172E-10    2.5615917984E-03
    3.4700000286E-01    9.9999997172E-10    2.4877598044E-03
    3.4799998999E-01    9.9999997172E-10    2.4640914053E-03
    3.4900000691E-01    9.9999997172E-10    2.4167657830E-03
    3.4999999404E-01    9.9999997172E-10    2.3467263673E-03
    3.5100001097E-01    9.9999997172E-10    2.3248440120E-03
    3.5199999809E-01    9.9999997172E-10    2.2802266758E-03
    3.5299998522E-01    9.9999997172E-10    2.2112904117E-03
    3.5400000215E-01    9.9999997172E-10    2.1935666446E-03
    3.5499998927E-01    9.9999997172E-10    2.1515053231E-03
    3.5600000620E-01    9.9999997172E-10    2.0900606178E-03
    3.5699999332E-01    9.9999997172E-10    2.0698038861E-03
    3.5800001025E-01    9.9999997172E-10    2.0301486365E-03
    3.5899999738E-01    9.9999997172E-10    1.9675958902E-03
    3.6000001431E-01    9.9999997172E-10    1.9531273283E-03
    3.6100000143E-01    9.9999997172E-10    1.9157443894E-03
    3.6199998856E-01    9.9999997172E-10    1.8570416141E-03
    3.6300000548E-01    9.9999997172E-10    1.8431319622E-03
    3.6399999261E-01    9.9999997172E-10    1.8078911817E-03
    3.6500000954E-01    9.9999997172E-10    1.7570644850E-03
    3.6599999666E-01    9.9999997172E-10    1.7394369934E-03
    3.6700001359E-01    9.9999997172E-10    1.7062142724E-03
    3.6800000072E-01    9.9999997172E-10    1.6563790850E-03
    3.6899998784E-01    9.9999997172E-10    1.6416830476E-03
    3.7000000477E-01    9.9999997172E-10    1.6103615053E-03
    3.7099999189E-01    9.9999997172E-10    1.5581940534E-03
    3.7200000882E-01    9.9999997172E-10    1.5495277476E-03
    3.7299999595E-01    9.9999997172E-10    1.5200019116E-03
    3.7400001287E-01    9.9999997172E-10    1.4910403406E-03
    3.7500000000E-01    9.9999997172E-10    1.4485213906E-03
    3.7599998713E-01    9.9999997172E-10    1.4348152326E-03
    3.7700000405E-01    9.9999997172E-10    1.4075223589E-03
    3.7799999118E-01    9.9999997172E-10    1.3807557989E-03
    3.7900000811E-01    9.9999997172E-10    1.3545171823E-03
    3.7999999523E-01    9.9999997172E-10    1.3122756500E-03
    3.8100001216E-01    9.9999997172E-10    1.3035525335E-03
    3.8199999928E-01    9.9999997172E-10    1.2788175372E-03
    3.8299998641E-01    9.9999997172E-10    1.2545572827E-03
    3.8400000334E-01    9.9999997172E-10    1.2142334599E-03
    3.8499999046E-01    9.9999997172E-10    1.2074543629E-03
    3.8600000739E-01    9.9999997172E-10    1.1845910922E-03
    3.8699999452E-01    9.9999997172E-10    1.1454523774E-03
    3.8800001144E-01    9.9999997172E-10    1.1401843512E-03
    3.8899999857E-01    9.9999997172E-10    1.1186315678E-03
    3.8999998569E-01    9.9999997172E-10    1.0974925244E-03
    3.9100000262E-01    9.9999997172E-10    1.0626929579E-03
    3.9199998975E-01    9.9999997172E-10    1.0564516997E-03
    3.9300000668E-01    9.9999997172E-10    1.0365322232E-03
    3.9399999380E-01    9.9999997172E-10    1.0038224282E-03
    3.9500001073E-01    9.9999997172E-10    9.9783972837E-04
    3.9599999785E-01    9.9999997172E-10    9.7906007431E-04
    3.9700001478E-01    9.9999997172E-10    9.6064311219E-04
    3.9800000191E-01    9.9999997172E-10    9.4258971512E-04
    3.9899998903E-01    9.9999997172E-10    9.2488207156E-04
    4.0000000596E-01    9.9999997172E-10    8.9646509150E-04
    4.0099999309E-01    9.9999997172E-10    8.9050538372E-04
    4.0200001001E-01    9.9999997172E-10    8.7381736375E-04
    4.0299999714E-01    9.9999997172E-10    8.5745280376E-04
    4.0400001407E-01    9.9999997172E-10    8.4141100524E-04
    4.0500000119E-01    9.9999997172E-10    8.2567287609E-04
    4.0599998832E-01    9.9999997172E-10    8.0342590809E-04
    4.0700000525E-01    9.9999997172E-10    7.9512817319E-04
    4.0799999237E-01    9.9999997172E-10    7.8030163422E-04
    4.0900000930E-01    9.9999997172E-10    7.6575420098E-04
    4.0999999642E-01    9.9999997172E-10    7.4619468069E-04
    4.1100001335E-01    9.9999997172E-10    7.3752354365E-04
    4.1200000048E-01    9.9999997172E-10    7.2381796781E-04
    4.1299998760E-01    9.9999997172E-10    7.1037956513E-04
    4.1400000453E-01    9.9999997172E-10    6.9720030297E-04
    4.1499999166E-01    9.9999997172E-10    6.8428594386E-04
    4.1600000858E-01    9.9999997172E-10    6.6572928336E-04
    4.1699999571E-01    9.9999997172E-10    6.5919186454E-04
    4.1800001264E-01    9.9999997172E-10    6.4701307565E-04
    4.1899999976E-01    9.9999997172E-10    6.3507392770E-04
    4.1999998689E-01    9.9999997172E-10    6.2336132396E-04
    4.2100000381E-01    9.9999997172E-10    6.0493656201E-04
    4.2199999094E-01    9.9999997172E-10    6.0062733246E-04
    4.2300000787E-01    9.9999997172E-10    5.8959174203E-04
    4.2399999499E-01    9.9999997172E-10    5.7876942446E-04
    4.2500001192E-01    9.9999997172E-10    5.6816189317E-04
    4.2599999905E-01    9.9999997172E-10    5.5024295580E-04
    4.2699998617E-01    9.9999997172E-10    5.4755574092E-04
    4.2800000310E-01    9.9999997172E-10    5.3755327826E-04
    4.2899999022E-01    9.9999997172E-10    5.2774947835E-04
    4.3000000715E-01    9.9999997172E-10    5.1812775200E-04
    4.3099999428E-01    9.9999997172E-10    5.0440983614E-04
