         pCa             force           
    4.0881800652E-01    6.6386446953E+00
    4.1082200408E-01    6.6418733597E+00
    4.1282600164E-01    6.6450591087E+00
    4.1482999921E-01    6.6482014656E+00
    4.1683399677E-01    6.6513023376E+00
    4.1883799434E-01    6.6543617249E+00
    4.2084199190E-01    6.6573801041E+00
    4.2284598947E-01    6.6603584290E+00
    4.2484998703E-01    6.6632966995E+00
    4.2685401440E-01    6.6661953926E+00
    4.2885801196E-01    6.6690564156E+00
    4.3086200953E-01    6.6718788147E+00
    4.3286600709E-01    6.6746635437E+00
    4.3487000465E-01    6.6774110794E+00
    4.3687400222E-01    6.6801228523E+00
    4.3887799978E-01    6.6827983856E+00
    4.4088199735E-01    6.6854376793E+00
    4.4288599491E-01    6.6880426407E+00
    4.4488999248E-01    6.6906132698E+00
    4.4689399004E-01    6.6931490898E+00
    4.4889798760E-01    6.6956510544E+00
    4.5090198517E-01    6.6981201172E+00
    4.5290601254E-01    6.7005572319E+00
    4.5491001010E-01    6.7029614449E+00
    4.5691400766E-01    6.7053341866E+00
    4.5891800523E-01    6.7076754570E+00
    4.6092200279E-01    6.7099862099E+00
    4.6292600036E-01    6.7122664452E+00
    4.6492999792E-01    6.7145166397E+00
    4.6693399549E-01    6.7167372704E+00
    4.6893799305E-01    6.7189288139E+00
    4.7094199061E-01    6.7210912704E+00
    4.7294598818E-01    6.7232255936E+00
    4.7494998574E-01    6.7253317833E+00
    4.7695401311E-01    6.7274098396E+00
    4.7895801067E-01    6.7294611931E+00
    4.8096200824E-01    6.7314848900E+00
    4.8296600580E-01    6.7334823608E+00
    4.8497000337E-01    6.7354540825E+00
    4.8697400093E-01    6.7373995781E+00
    4.8897799850E-01    6.7393198013E+00
    4.9098199606E-01    6.7412152290E+00
    4.9298599362E-01    6.7430853844E+00
    4.9498999119E-01    6.7449316978E+00
    4.9699398875E-01    6.7467532158E+00
    4.9899798632E-01    6.7485508919E+00
    5.0100201368E-01    6.7503256798E+00
    5.0300598145E-01    6.7520771027E+00
    5.0501000881E-01    6.7538056374E+00
    5.0701397657E-01    6.7555117607E+00
    5.0901800394E-01    6.7571954727E+00
    5.1102197170E-01    6.7588572502E+00
    5.1302599907E-01    6.7604975700E+00
    5.1503002644E-01    6.7621164322E+00
    5.1703399420E-01    6.7637143135E+00
    5.1903802156E-01    6.7652916908E+00
    5.2104198933E-01    6.7668485641E+00
    5.2304601669E-01    6.7683844566E+00
    5.2504998446E-01    6.7699007988E+00
    5.2705401182E-01    6.7713971138E+00
    5.2905797958E-01    6.7728743553E+00
    5.3106200695E-01    6.7743325233E+00
    5.3306597471E-01    6.7757720947E+00
    5.3507000208E-01    6.7771925926E+00
    5.3707402945E-01    6.7785949707E+00
    5.3907799721E-01    6.7799792290E+00
    5.4108202457E-01    6.7813453674E+00
    5.4308599234E-01    6.7826943398E+00
    5.4509001970E-01    6.7840251923E+00
    5.4709398746E-01    6.7853388786E+00
    5.4909801483E-01    6.7866353989E+00
    5.5110198259E-01    6.7879152298E+00
    5.5310600996E-01    6.7891788483E+00
    5.5510997772E-01    6.7904262543E+00
    5.5711400509E-01    6.7916574478E+00
    5.5911797285E-01    6.7928724289E+00
    5.6112200022E-01    6.7940721512E+00
    5.6312602758E-01    6.7952566147E+00
    5.6512999535E-01    6.7964253426E+00
    5.6713402271E-01    6.7975792885E+00
    5.6913799047E-01    6.7987179756E+00
    5.7114201784E-01    6.7998418808E+00
    5.7314598560E-01    6.8009519577E+00
    5.7515001297E-01    6.8020472527E+00
    5.7715398073E-01    6.8031287193E+00
    5.7915800810E-01    6.8041958809E+00
    5.8116197586E-01    6.8052496910E+00
    5.8316600323E-01    6.8062896729E+00
    5.8516997099E-01    6.8073167801E+00
    5.8717399836E-01    6.8083305359E+00
    5.8917802572E-01    6.8093309402E+00
    5.9118199348E-01    6.8103189468E+00
    5.9318602085E-01    6.8112940788E+00
    5.9518998861E-01    6.8122563362E+00
    5.9719401598E-01    6.8132071495E+00
    5.9919798374E-01    6.8141450882E+00
    6.0120201111E-01    6.8150715828E+00
    6.0320597887E-01    6.8159852028E+00
    6.0521000624E-01    6.8168873787E+00
    6.0721397400E-01    6.8177785873E+00
    6.0921800137E-01    6.8186578751E+00
    6.1122202873E-01    6.8195261955E+00
    6.1322599649E-01    6.8203835487E+00
    6.1523002386E-01    6.8212299347E+00
    6.1723399162E-01    6.8220653534E+00
    6.1923801899E-01    6.8228893280E+00
    6.2124198675E-01    6.8237032890E+00
    6.2324601412E-01    6.8245072365E+00
    6.2525099516E-01    6.8253002167E+00
    6.2725502253E-01    6.8260836601E+00
    6.2925899029E-01    6.8268561363E+00
