         time            Ca              
    1.6816799343E-01    4.0313299365E-08    1.8398070335E+00
    1.6866900027E-01    3.9811798302E-08    1.8283876181E+00
    1.6916899383E-01    3.9318500455E-08    1.8170452118E+00
    1.6967000067E-01    3.8833501748E-08    1.8057335615E+00
    1.7016999424E-01    3.8356400722E-08    1.7944988012E+00
    1.7067100108E-01    3.7887300408E-08    1.7832951546E+00
    1.7117099464E-01    3.7425898824E-08    1.7721679211E+00
    1.7167200148E-01    3.6972100048E-08    1.7610720396E+00
    1.7217199504E-01    3.6525900526E-08    1.7500523329E+00
    1.7267300189E-01    3.6086998279E-08    1.7390639782E+00
    1.7317299545E-01    3.5655400410E-08    1.7281516790E+00
    1.7367400229E-01    3.5230900863E-08    1.7172708511E+00
    1.7417399585E-01    3.4813499639E-08    1.7064658403E+00
    1.7467500269E-01    3.4402898308E-08    1.6956923008E+00
    1.7517499626E-01    3.3999199900E-08    1.6849942207E+00
    1.7567600310E-01    3.3602098881E-08    1.6743279696E+00
    1.7617599666E-01    3.3211598804E-08    1.6637365818E+00
    1.7667700350E-01    3.2827600194E-08    1.6531772614E+00
    1.7717699707E-01    3.2449900544E-08    1.6426924467E+00
    1.7767800391E-01    3.2078499856E-08    1.6322398186E+00
    1.7817799747E-01    3.1713199178E-08    1.6218613386E+00
    1.7867900431E-01    3.1353998509E-08    1.6115150452E+00
    1.7917899787E-01    3.1000698897E-08    1.6012424231E+00
    1.7968000472E-01    3.0653200866E-08    1.5910021067E+00
    1.8017999828E-01    3.0311500865E-08    1.5808353424E+00
    1.8068100512E-01    2.9975399940E-08    1.5707006454E+00
    1.8118099868E-01    2.9644899868E-08    1.5606392622E+00
    1.8168200552E-01    2.9319899397E-08    1.5506099463E+00
    1.8218199909E-01    2.9000300827E-08    1.5406533480E+00
    1.8268300593E-01    2.8685899878E-08    1.5307289362E+00
    1.8318299949E-01    2.8376799577E-08    1.5208770037E+00
    1.8368400633E-01    2.8072699720E-08    1.5110571384E+00
    1.8418399990E-01    2.7773699784E-08    1.5013092756E+00
    1.8468500674E-01    2.7479600817E-08    1.4915935993E+00
    1.8518500030E-01    2.7190399265E-08    1.4819493294E+00
    1.8568600714E-01    2.6905999206E-08    1.4723373652E+00
    1.8618600070E-01    2.6626299388E-08    1.4627962112E+00
    1.8668699265E-01    2.6351200333E-08    1.4532877207E+00
    1.8718700111E-01    2.6080700266E-08    1.4438492060E+00
    1.8768799305E-01    2.5814600235E-08    1.4344432354E+00
    1.8818800151E-01    2.5552999716E-08    1.4251070023E+00
    1.8868899345E-01    2.5295699757E-08    1.4158033133E+00
    1.8918900192E-01    2.5042600882E-08    1.4065686464E+00
    1.8968999386E-01    2.4793699538E-08    1.3973666430E+00
    1.9019000232E-01    2.4548999278E-08    1.3882331848E+00
    1.9069099426E-01    2.4308299373E-08    1.3791323900E+00
    1.9119100273E-01    2.4071500349E-08    1.3700997829E+00
    1.9169199467E-01    2.3838699903E-08    1.3610994816E+00
    1.9219200313E-01    2.3609700861E-08    1.3521667719E+00
    1.9269299507E-01    2.3384599146E-08    1.3432664871E+00
    1.9319300354E-01    2.3163099883E-08    1.3344333172E+00
    1.9369399548E-01    2.2945300771E-08    1.3256324530E+00
    1.9419400394E-01    2.2731200033E-08    1.3168983459E+00
    1.9469499588E-01    2.2520499243E-08    1.3081961870E+00
    1.9519500434E-01    2.2313399128E-08    1.2995603085E+00
