         time            Ca              
    1.8693700433E-01    2.8181200378E-06    5.9955015182E+00
    1.8768799305E-01    2.9122300020E-06    6.0005450249E+00
    1.8843799829E-01    2.9984998946E-06    6.0062294006E+00
    1.8918900192E-01    2.9243899462E-06    6.0125780106E+00
    1.8994000554E-01    2.8521199056E-06    6.0194544792E+00
    1.9069099426E-01    2.7816299735E-06    6.0267109871E+00
    1.9144099951E-01    2.7128799047E-06    6.0342159271E+00
    1.9219200313E-01    2.6458299089E-06    6.0418782234E+00
    1.9294300675E-01    2.5804399684E-06    6.0495891571E+00
    1.9369399548E-01    2.5166700652E-06    6.0572643280E+00
    1.9444400072E-01    2.4544699500E-06    6.0648183823E+00
    1.9519500434E-01    2.3938100639E-06    6.0722079277E+00
    1.9594599307E-01    2.3346499347E-06    6.0793642998E+00
    1.9669699669E-01    2.2769499992E-06    6.0862393379E+00
    1.9744700193E-01    2.2206800168E-06    6.0927820206E+00
    1.9819800556E-01    2.1657899651E-06    6.0989742279E+00
    1.9894899428E-01    2.1122700673E-06    6.1047749519E+00
    1.9969999790E-01    2.0600600692E-06    6.1101584435E+00
    2.0045000315E-01    2.0091499664E-06    6.1150979996E+00
    2.0120100677E-01    1.9594899641E-06    6.1195859909E+00
    2.0195199549E-01    1.9110700578E-06    6.1236014366E+00
    2.0270299911E-01    1.8638399979E-06    6.1271314621E+00
    2.0345300436E-01    1.8177699985E-06    6.1301612854E+00
    2.0420399308E-01    1.7728500552E-06    6.1326942444E+00
    2.0495499671E-01    1.7290300320E-06    6.1347122192E+00
    2.0570600033E-01    1.8688200498E-06    6.1362357140E+00
    2.0645600557E-01    2.0092700197E-06    6.1374263763E+00
    2.0720699430E-01    2.1428700165E-06    6.1384625435E+00
    2.0795799792E-01    2.2699500732E-06    6.1394939423E+00
    2.0870900154E-01    2.3908201001E-06    6.1406502724E+00
    2.0945900679E-01    2.5057900075E-06    6.1420445442E+00
    2.1020999551E-01    2.6151499242E-06    6.1437764168E+00
    2.1096099913E-01    2.7191699701E-06    6.1459259987E+00
    2.1171200275E-01    2.8181200378E-06    6.1485605240E+00
    2.1246199310E-01    2.9122300020E-06    6.1517314911E+00
    2.1321299672E-01    2.9984998946E-06    6.1554899216E+00
    2.1396400034E-01    2.9243899462E-06    6.1598405838E+00
    2.1471500397E-01    2.8521199056E-06    6.1646714211E+00
    2.1546499431E-01    2.7816299735E-06    6.1698484421E+00
    2.1621599793E-01    2.7128799047E-06    6.1752777100E+00
    2.1696700156E-01    2.6458299089E-06    6.1808552742E+00
    2.1771800518E-01    2.5804399684E-06    6.1864972115E+00
    2.1846799552E-01    2.5166700652E-06    6.1921200752E+00
    2.1921899915E-01    2.4544699500E-06    6.1976723671E+00
    2.1997000277E-01    2.3938100639E-06    6.2030882835E+00
    2.2072100639E-01    2.3346499347E-06    6.2083172798E+00
    2.2147099674E-01    2.2769499992E-06    6.2133083344E+00
    2.2222200036E-01    2.2206800168E-06    6.2180361748E+00
    2.2297300398E-01    2.1657899651E-06    6.2224607468E+00
    2.2372399271E-01    2.1122700673E-06    6.2265543938E+00
    2.2447399795E-01    2.0600600692E-06    6.2302861214E+00
    2.2522500157E-01    2.0091499664E-06    6.2336468697E+00
    2.2597600520E-01    1.9594899641E-06    6.2366108894E+00
    2.2672699392E-01    1.9110700578E-06    6.2391653061E+00
    2.2747699916E-01    1.8638399979E-06    6.2412939072E+00
    2.2822800279E-01    1.8177699985E-06    6.2429909706E+00
    2.2897900641E-01    1.7728500552E-06    6.2442469597E+00
    2.2972999513E-01    1.7290300320E-06    6.2450504303E+00
    2.3048000038E-01    1.8688200498E-06    6.2454156876E+00
    2.3123100400E-01    2.0092700197E-06    6.2454910278E+00
    2.3198199272E-01    2.1428700165E-06    6.2454309464E+00
    2.3273299634E-01    2.2699500732E-06    6.2453742027E+00
    2.3348300159E-01    2.3908201001E-06    6.2454385757E+00
    2.3423400521E-01    2.5057900075E-06    6.2457280159E+00
    2.3498499393E-01    2.6151499242E-06    6.2463312149E+00
    2.3573599756E-01    2.7191699701E-06    6.2473230362E+00
    2.3648600280E-01    2.8181200378E-06    6.2487640381E+00
    2.3723700643E-01    2.9122300020E-06    6.2507061958E+00
    2.3798799515E-01    2.9984998946E-06    6.2531919479E+00
    2.3873899877E-01    2.9243899462E-06    6.2562289238E+00
    2.3948900402E-01    2.8521199056E-06    6.2597098351E+00
    2.4023999274E-01    2.7816299735E-06    6.2635321617E+00
    2.4099099636E-01    2.7128799047E-06    6.2675929070E+00
    2.4174199998E-01    2.6458299089E-06    6.2718033791E+00
    2.4249200523E-01    2.5804399684E-06    6.2760815620E+00
    2.4324299395E-01    2.5166700652E-06    6.2803683281E+00
    2.4399399757E-01    2.4544699500E-06    6.2845983505E+00
    2.4474500120E-01    2.3938100639E-06    6.2887172699E+00
    2.4549500644E-01    2.3346499347E-06    6.2926731110E+00
    2.4624599516E-01    2.2769499992E-06    6.2964353561E+00
    2.4699699879E-01    2.2206800168E-06    6.2999625206E+00
    2.4774800241E-01    2.1657899651E-06    6.3032240868E+00
    2.4849799275E-01    2.1122700673E-06    6.3061871529E+00
    2.4924899638E-01    2.0600600692E-06    6.3088378906E+00
    2.5000000000E-01    2.0091499664E-06    6.3111500740E+00
    2.5075098872E-01    1.9594899641E-06    6.3131074905E+00
    2.5150200725E-01    1.9110700578E-06    6.3146963120E+00
    2.5225201249E-01    1.8638399979E-06    6.3159003258E+00
    2.5300300121E-01    1.8177699985E-06    6.3167123795E+00
    2.5375398993E-01    1.7728500552E-06    6.3171238899E+00
    2.5450500846E-01    1.7290300320E-06    6.3171219826E+00
    2.5525501370E-01    1.8688200498E-06    6.3167219162E+00
    2.5600600243E-01    2.0092700197E-06    6.3160562515E+00
    2.5675699115E-01    2.1428700165E-06    6.3152728081E+00
    2.5750800967E-01    2.2699500732E-06    6.3144969940E+00
    2.5825798512E-01    2.3908201001E-06    6.3138418198E+00
    2.5900900364E-01    2.5057900075E-06    6.3134016991E+00
    2.5975999236E-01    2.6151499242E-06    6.3132615089E+00
    2.6051101089E-01    2.7191699701E-06    6.3134922981E+00
    2.6126098633E-01    2.8181200378E-06    6.3141503334E+00
    2.6201200485E-01    2.9122300020E-06    6.3152852058E+00
    2.6276299357E-01    2.9984998946E-06    6.3169369698E+00
    2.6351401210E-01    2.9243899462E-06    6.3191123009E+00
    2.6426398754E-01    2.8521199056E-06    6.3217153549E+00
    2.6501500607E-01    2.7816299735E-06    6.3246455193E+00
    2.6576599479E-01    2.7128799047E-06    6.3278117180E+00
    2.6651701331E-01    2.6458299089E-06    6.3311276436E+00
    2.6726698875E-01    2.5804399684E-06    6.3345184326E+00
    2.6801800728E-01    2.5166700652E-06    6.3379273415E+00
    2.6876899600E-01    2.4544699500E-06    6.3412928581E+00
    2.6952001452E-01    2.3938100639E-06    6.3445630074E+00
    2.7026998997E-01    2.3346499347E-06    6.3476905823E+00
    2.7102100849E-01    2.2769499992E-06    6.3506441116E+00
    2.7177199721E-01    2.2206800168E-06    6.3533849716E+00
    2.7252298594E-01    2.1657899651E-06    6.3558831215E+00
    2.7327299118E-01    2.1122700673E-06    6.3581099510E+00
    2.7402400970E-01    2.0600600692E-06    6.3600482941E+00
    2.7477499843E-01    2.0091499664E-06    6.3616743088E+00
    2.7552598715E-01    1.9594899641E-06    6.3629727364E+00
    2.7627599239E-01    1.9110700578E-06    6.3639254570E+00
    2.7702701092E-01    1.8638399979E-06    6.3645243645E+00
    2.7777799964E-01    1.8177699985E-06    6.3647556305E+00
    2.7852898836E-01    1.7728500552E-06    6.3646125793E+00
    2.7927899361E-01    1.7290300320E-06    6.3640837669E+00
    2.8003001213E-01    1.8688200498E-06    6.3631792068E+00
    2.8078100085E-01    2.0092700197E-06    6.3620271683E+00
    2.8153198957E-01    2.1428700165E-06    6.3607683182E+00
    2.8228199482E-01    2.2699500732E-06    6.3595218658E+00
    2.8303301334E-01    2.3908201001E-06    6.3583931923E+00
    2.8378400207E-01    2.5057900075E-06    6.3574757576E+00
    2.8453499079E-01    2.6151499242E-06    6.3568491936E+00
    2.8528499603E-01    2.7191699701E-06    6.3565821648E+00
    2.8603601456E-01    2.8181200378E-06    6.3567280769E+00
    2.8678700328E-01    2.9122300020E-06    6.3573350906E+00
    2.8753799200E-01    2.9984998946E-06    6.3584418297E+00
    2.8828799725E-01    2.9243899462E-06    6.3600540161E+00
    2.8903898597E-01    2.8521199056E-06    6.3620877266E+00
    2.8979000449E-01    2.7816299735E-06    6.3644385338E+00
    2.9054099321E-01    2.7128799047E-06    6.3670201302E+00
    2.9129099846E-01    2.6458299089E-06    6.3697500229E+00
    2.9204198718E-01    2.5804399684E-06    6.3725667000E+00
    2.9279300570E-01    2.5166700652E-06    6.3754019737E+00
    2.9354399443E-01    2.4544699500E-06    6.3782033920E+00
    2.9429399967E-01    2.3938100639E-06    6.3809170723E+00
    2.9504498839E-01    2.3346499347E-06    6.3835082054E+00
    2.9579600692E-01    2.2769499992E-06    6.3859338760E+00
    2.9654699564E-01    2.2206800168E-06    6.3881616592E+00
    2.9729700089E-01    2.1657899651E-06    6.3901600838E+00
    2.9804798961E-01    2.1122700673E-06    6.3919086456E+00
